,combined_zone,SHOT_TYPE,FGM,FGA,OREB,2nd_Chance_Pts,FG%,MISSES,OREB%,shot_value,pts_per_OREB,xpps
0,Above the Break 3_Center(C)_24+ ft._3PT Field Goal,3PT Field Goal,2099,6260,627,594,0.3353035143769968,4161,0.1506849315068493,3,0.9473684210526315,1.1007987220447284
1,Above the Break 3_Left Side Center(LC)_24+ ft._3PT Field Goal,3PT Field Goal,3125,8968,1008,997,0.34846119536128456,5843,0.17251411945918194,3,0.9890873015873016,1.1565566458519179
2,Above the Break 3_Right Side Center(RC)_24+ ft._3PT Field Goal,3PT Field Goal,2977,8476,986,943,0.3512269938650307,5499,0.17930532824149845,3,0.9563894523326572,1.164936290703162
3,In The Paint (Non-RA)_Center(C)_8-16 ft._2PT Field Goal,2PT Field Goal,1905,4578,582,565,0.4161205766710354,2673,0.21773288439955107,2,0.9707903780068728,0.9556574923547401
4,In The Paint (Non-RA)_Center(C)_Less Than 8 ft._2PT Field Goal,2PT Field Goal,2953,7683,1248,1268,0.3843550696342575,4730,0.2638477801268499,2,1.016025641025641,0.9337498373031368
5,In The Paint (Non-RA)_Left Side(L)_8-16 ft._2PT Field Goal,2PT Field Goal,320,814,113,131,0.3931203931203931,494,0.22874493927125505,2,1.1592920353982301,0.9471744471744472
6,In The Paint (Non-RA)_Right Side(R)_8-16 ft._2PT Field Goal,2PT Field Goal,303,782,120,109,0.3874680306905371,479,0.25052192066805845,2,0.9083333333333333,0.9143222506393862
7,Left Corner 3_Left Side(L)_24+ ft._3PT Field Goal,3PT Field Goal,1374,3541,405,385,0.3880259813611974,2167,0.1868943239501615,3,0.9506172839506173,1.2728042925727197
8,Mid-Range_Center(C)_16-24 ft._2PT Field Goal,2PT Field Goal,970,2377,186,179,0.40807740849810686,1407,0.13219616204690832,2,0.9623655913978495,0.8914598233066892
9,Mid-Range_Center(C)_8-16 ft._2PT Field Goal,2PT Field Goal,412,966,97,87,0.42650103519668736,554,0.17509025270758122,2,0.8969072164948454,0.943064182194617
10,Mid-Range_Left Side Center(LC)_16-24 ft._2PT Field Goal,2PT Field Goal,862,2123,168,160,0.4060292039566651,1261,0.13322759714512292,2,0.9523809523809523,0.8874234573716439
11,Mid-Range_Left Side(L)_16-24 ft._2PT Field Goal,2PT Field Goal,318,822,85,87,0.38686131386861317,504,0.16865079365079366,2,1.0235294117647058,0.8795620437956205
12,Mid-Range_Left Side(L)_8-16 ft._2PT Field Goal,2PT Field Goal,872,2208,240,242,0.39492753623188404,1336,0.17964071856287425,2,1.0083333333333333,0.8994565217391304
13,Mid-Range_Right Side Center(RC)_16-24 ft._2PT Field Goal,2PT Field Goal,948,2296,196,201,0.41289198606271776,1348,0.14540059347181009,2,1.0255102040816326,0.9133275261324042
14,Mid-Range_Right Side(R)_16-24 ft._2PT Field Goal,2PT Field Goal,316,789,68,57,0.4005069708491762,473,0.14376321353065538,2,0.8382352941176471,0.8732572877059569
15,Mid-Range_Right Side(R)_8-16 ft._2PT Field Goal,2PT Field Goal,920,2189,227,216,0.4202832343535861,1269,0.17888100866824272,2,0.9515418502202643,0.9392416628597533
16,Restricted Area_Center(C)_Less Than 8 ft._2PT Field Goal,2PT Field Goal,18228,29052,3139,3428,0.6274266831887649,10824,0.29000369549150035,2,1.0920675374323032,1.372848685116343
17,Right Corner 3_Right Side(R)_24+ ft._3PT Field Goal,3PT Field Goal,1256,3334,405,421,0.3767246550689862,2078,0.19489894128970164,3,1.039506172839506,1.2564487102579485
